match_id,league,kickoff_utc,decision_time,home_team_id,away_team_id,total_goals,y_over_2_5,n_train_matches,p_over_2_5_A0_flat,p_over_2_5_A1_halflife_30d,p_over_2_5_A2_halflife_60d,p_over_2_5_A3_halflife_90d,p_over_2_5_A4_halflife_180d,p_over_2_5_A5_halflife_365d,competition
28076,Ligue_1,2024-09-14 15:00:00,2024-09-14 13:00:00,164,170,2,0.0,28,0.8689880923291923,0.8630824818367172,0.8656461936160956,0.8666858171398298,0.8678027874858093,0.8683955796128915,ligue1
28077,Ligue_1,2024-09-14 17:00:00,2024-09-14 15:00:00,275,171,3,1.0,28,0.31174074172515037,0.33902929793913983,0.3254277420665021,0.3208799883601482,0.3163186453928726,0.3140005679103419,ligue1
28079,Ligue_1,2024-09-14 19:00:00,2024-09-14 17:00:00,161,241,4,1.0,29,0.9901956345653761,0.9836296336199832,0.9872365209232328,0.9882963228895283,0.989282644222125,0.9897545150760868,ligue1
28080,Ligue_1,2024-09-15 13:00:00,2024-09-15 11:00:00,163,166,3,1.0,31,0.8559320505481123,0.849622889730459,0.8528735542127672,0.8539280821465263,0.8549509380590019,0.8554540547252943,ligue1
28081,Ligue_1,2024-09-15 15:00:00,2024-09-15 13:00:00,168,177,3,1.0,31,0.40931496078065327,0.46447034822802935,0.43730566278879407,0.42807077694561224,0.4187410883553047,0.41397557864341367,ligue1
28082,Ligue_1,2024-09-15 15:00:00,2024-09-15 13:00:00,174,282,2,0.0,31,0.4652587612344605,0.5347977223241354,0.49990771981246296,0.4883266536347675,0.47677601490924654,0.47093415635367303,ligue1
28083,Ligue_1,2024-09-15 15:00:00,2024-09-15 13:00:00,225,167,2,0.0,31,0.8167022155448688,0.8797549362146183,0.8503902686706467,0.83964370594161,0.8284142042099287,0.8225381832902816,ligue1
28078,Ligue_1,2024-09-15 18:45:00,2024-09-15 16:45:00,210,178,0,0.0,32,0.5869408723029801,0.6323440391599158,0.6089304419608306,0.6014474156471715,0.5941193660706107,0.5904626444125907,ligue1
28085,Ligue_1,2024-09-20 18:45:00,2024-09-20 16:45:00,170,175,8,1.0,36,0.43269257043318604,0.42927307200140813,0.434712359139143,0.43487834679307613,0.43420501723583477,0.4335430462283868,ligue1
28090,Ligue_1,2024-09-21 15:00:00,2024-09-21 13:00:00,160,225,6,1.0,37,0.6305736477339808,0.6208067040875757,0.6296373979858757,0.6308043682797043,0.6311100940475167,0.6309421886014647,ligue1
28091,Ligue_1,2024-09-21 17:00:00,2024-09-21 15:00:00,163,210,2,0.0,37,0.13325428272988143,0.11102302224666459,0.1227275484219099,0.12641376191497697,0.12993409927190291,0.13164404841680807,ligue1
28086,Ligue_1,2024-09-21 19:00:00,2024-09-21 17:00:00,177,161,2,0.0,38,0.8540088682986077,0.8251521434517284,0.839243099108795,0.8441320392595132,0.8490643803108052,0.8515708961959787,ligue1
28092,Ligue_1,2024-09-22 13:00:00,2024-09-22 11:00:00,171,282,4,1.0,40,0.5514340924539196,0.6201160879619964,0.5831134831079784,0.571937237611274,0.5613750117832436,0.5562586808459752,ligue1
28087,Ligue_1,2024-09-22 15:00:00,2024-09-22 13:00:00,241,174,2,0.0,40,0.5561882797700015,0.6114254934829121,0.5859497864456837,0.5764765513923996,0.5665473652783418,0.5613488379475726,ligue1
28088,Ligue_1,2024-09-22 15:00:00,2024-09-22 13:00:00,167,168,2,0.0,40,0.3932168549010807,0.4460429620943309,0.42086711755819856,0.4119289178005652,0.40271177308186346,0.3979337828011171,ligue1
28089,Ligue_1,2024-09-22 15:00:00,2024-09-22 13:00:00,166,275,5,1.0,40,0.46764845520000403,0.397681876309494,0.43450652575547294,0.4459697980331498,0.45701755464195154,0.46245790331394115,ligue1
28084,Ligue_1,2024-09-22 18:45:00,2024-09-22 16:45:00,178,164,5,1.0,41,0.8498603580433591,0.739465604360847,0.8018703499471463,0.8193658608403771,0.8353318610158955,0.8428692225026371,ligue1
28095,Ligue_1,2024-09-27 17:00:00,2024-09-27 15:00:00,275,241,3,1.0,45,0.7852515021336017,0.8011260800531625,0.7932779756631109,0.7905770370633277,0.787889523191234,0.7865439593334341,ligue1
28094,Ligue_1,2024-09-27 19:00:00,2024-09-27 17:00:00,161,163,4,1.0,45,0.8203444805371278,0.7598691136163861,0.793568568910529,0.8032917291541112,0.8122197369422227,0.816438279445441,ligue1
28096,Ligue_1,2024-09-28 15:00:00,2024-09-28 13:00:00,210,170,0,0.0,47,0.2690336389526044,0.304764109011885,0.2858630163930737,0.28001506587746766,0.27440425115637107,0.2716520419606301,ligue1
28098,Ligue_1,2024-09-28 17:00:00,2024-09-28 15:00:00,282,160,3,1.0,47,0.7315245803944618,0.7844243818928963,0.7582692301358496,0.7493371063317993,0.7403980698458891,0.7358875302412192,ligue1
28100,Ligue_1,2024-09-28 19:00:00,2024-09-28 17:00:00,171,166,3,1.0,48,0.9302292710759186,0.9699682628066802,0.9536751420240707,0.9467207839490619,0.9389181768604801,0.9346268910419526,ligue1
28099,Ligue_1,2024-09-29 13:00:00,2024-09-29 11:00:00,174,178,3,1.0,50,0.45650510220168583,0.5074644777905023,0.48515415673785206,0.47631125551717174,0.4667587416840277,0.46164843291316054,ligue1
28097,Ligue_1,2024-09-29 15:00:00,2024-09-29 13:00:00,168,175,4,1.0,50,0.7398850949030085,0.8503802990918629,0.8020683644020875,0.7828813464371054,0.7621405369916628,0.7510458841233014,ligue1
28101,Ligue_1,2024-09-29 15:00:00,2024-09-29 13:00:00,167,177,4,1.0,50,0.42405534132127126,0.4470434176315733,0.439489191337857,0.4352421274856894,0.4300991230898482,0.4271483222949243,ligue1
28093,Ligue_1,2024-09-29 18:45:00,2024-09-29 16:45:00,225,164,1,0.0,51,0.9459210543232895,0.9521607201175006,0.9488844979301075,0.9478649007929009,0.9468782369194685,0.9463896566615958,ligue1
28109,Ligue_1,2024-10-04 18:45:00,2024-10-04 16:45:00,164,167,2,0.0,54,0.8545395782901214,0.8138872482496159,0.8366257329648601,0.8431555326045819,0.8491299931388812,0.8519428059865307,ligue1
28107,Ligue_1,2024-10-05 15:00:00,2024-10-05 13:00:00,175,275,4,1.0,55,0.6435511794818921,0.7982528832491682,0.7278265672471872,0.7009787309514829,0.6727874330914227,0.658078860261057,ligue1
28106,Ligue_1,2024-10-05 17:00:00,2024-10-05 15:00:00,160,174,3,1.0,55,0.5125181539535564,0.6320934322780587,0.5750565359293291,0.5546949761744028,0.5338122828419299,0.5230635454343175,ligue1
28103,Ligue_1,2024-10-05 19:00:00,2024-10-05 17:00:00,163,171,3,1.0,56,0.4975058528634975,0.5941516769657207,0.5479714590399314,0.5315457382351327,0.5147000680552473,0.5060239623937984,ligue1
28102,Ligue_1,2024-10-06 13:00:00,2024-10-06 11:00:00,178,168,2,0.0,58,0.5963930015063984,0.6623477321326432,0.6305213563887316,0.619334563939698,0.6079410859555356,0.6021040231288073,ligue1
28105,Ligue_1,2024-10-06 15:00:00,2024-10-06 13:00:00,177,166,6,1.0,58,0.8682558598590331,0.8976293315984133,0.8858620339221004,0.8807121703838113,0.8748602975624137,0.871609943598508,ligue1
28108,Ligue_1,2024-10-06 15:00:00,2024-10-06 13:00:00,241,282,2,0.0,58,0.7786922784233451,0.7315061180366282,0.7557419594315216,0.7634986069994373,0.7711417223526161,0.7749792446407723,ligue1
28110,Ligue_1,2024-10-06 15:00:00,2024-10-06 13:00:00,225,210,4,1.0,58,0.18424790722329357,0.13759819235734708,0.16185583603332787,0.16963751951754807,0.17712826299998355,0.1807880730311846,ligue1
28104,Ligue_1,2024-10-06 18:45:00,2024-10-06 16:45:00,170,161,2,0.0,59,0.7445978953569978,0.7016202397163105,0.7226572169836311,0.7298393546425129,0.737149301590668,0.7409070493156616,ligue1
28111,Ligue_1,2024-10-18 18:45:00,2024-10-18 16:45:00,171,160,0,0.0,63,0.5115023434889394,0.6347203645651631,0.581849867678817,0.5602662708572259,0.5367737980185723,0.5241766502499366,ligue1
28118,Ligue_1,2024-10-19 15:00:00,2024-10-19 13:00:00,241,163,2,0.0,64,0.7539226741717971,0.7329229755228078,0.7405089767186844,0.7443635446311964,0.7488455011574584,0.7513467803515478,ligue1
28117,Ligue_1,2024-10-19 17:00:00,2024-10-19 15:00:00,175,210,2,0.0,64,0.35872281141129736,0.47823805941909847,0.4121842200659364,0.39285651626869034,0.3750279397868547,0.366573512255135,ligue1
28119,Ligue_1,2024-10-19 19:00:00,2024-10-19 17:00:00,161,225,6,1.0,65,0.9281097652474808,0.8970968218641613,0.9142115836852178,0.9192607428316115,0.9239032828005409,0.926091222295184,ligue1
