scheme,half_life_days,n,brier_mean,log_loss_mean,reliability,resolution,uncertainty,coverage,mean_predicted_p,observed_frequency
A0_flat,,2138,0.2615208194032119,0.762977344119267,0.015082401682919471,0.0026657271372222523,0.24904704483264656,0.9861623616236163,0.5690748893181446,0.5308699719363892
A1_halflife_30d,30.0,2138,0.2781154160709568,0.8107345511733921,0.029613557780153375,0.0011747922507940863,0.24904704483264656,0.9861623616236163,0.5610724540874857,0.5308699719363892
A2_halflife_60d,60.0,2138,0.267214848827307,0.7778471714987126,0.019410473842883077,0.0023450792772136274,0.24904704483264656,0.9861623616236163,0.5704331065750022,0.5308699719363892
A3_halflife_90d,90.0,2138,0.26411950292081465,0.769820885851888,0.016977074575960836,0.0027331479753441345,0.24904704483264656,0.9861623616236163,0.5720749620353238,0.5308699719363892
A4_halflife_180d,180.0,2138,0.26198977496905135,0.7643340854286331,0.01488028536503966,0.0026005835029846575,0.24904704483264656,0.9861623616236163,0.571718748365909,0.5308699719363892
A5_halflife_365d,365.0,2138,0.2615098295303784,0.7630483021483362,0.01508165691173428,0.0025501410903090546,0.24904704483264656,0.9861623616236163,0.5706009166556727,0.5308699719363892
